,Model,MPG,Cylinders,Displacement,Horsepower,Weight,Acceleration,Year,Origin,pca1,pca2
0,chevrolet chevelle malibu,18.0,8,307.0,130,3504,12.0,70,US,0.748081013100496,0.27713706026586715
1,buick skylark 320,15.0,8,350.0,165,3693,11.5,70,US,0.9136593496718596,0.24787228812995862
2,plymouth satellite,18.0,8,318.0,150,3436,11.0,70,US,0.7997919268897927,0.2705682714902328
3,amc rebel sst,16.0,8,304.0,150,3433,12.0,70,US,0.7902025484234125,0.2826200514239404
4,ford torino,17.0,8,302.0,140,3449,10.5,70,US,0.7776187295377188,0.2830733546318163
5,ford galaxie 500,15.0,8,429.0,198,4341,10.0,70,US,1.1527824741285573,0.17025667256501853
6,chevrolet impala,14.0,8,454.0,220,4354,9.0,70,US,1.242018689624921,0.15588041297635313
7,plymouth fury iii,14.0,8,440.0,215,4312,8.5,70,US,1.2167415347214223,0.16584432068213578
8,pontiac catalina,14.0,8,455.0,225,4425,10.0,70,US,1.250309697557369,0.14977890314811423
9,amc ambassador dpl,15.0,8,390.0,190,3850,8.5,70,US,1.0530019405676634,0.21620369286519545
10,dodge challenger se,15.0,8,383.0,170,3563,10.0,70,US,0.9619451767866217,0.23969953924662907
11,plymouth 'cuda 340,14.0,8,340.0,160,3609,8.0,70,US,0.9264320723944033,0.26276624047548763
12,chevrolet monte carlo,15.0,8,400.0,150,3761,9.5,70,US,0.9721917273622542,0.22790044903447612
13,buick estate wagon (sw),14.0,8,455.0,225,3086,10.0,70,US,1.1027110153906987,0.2209576552938832
14,toyota corona mark ii,24.0,4,113.0,95,2372,15.0,70,Japan,-0.20093836774419416,0.6037667898660303
15,plymouth duster,22.0,6,198.0,95,2833,15.5,70,US,0.18784266509280415,0.45235106035945705
16,amc hornet,18.0,6,199.0,97,2774,15.5,70,US,0.22018242641365512,0.46701165163465064
17,ford maverick,21.0,6,200.0,85,2587,16.0,70,US,0.14843810304892097,0.47041354443156463
18,datsun pl510,27.0,4,97.0,88,2130,14.5,70,Japan,-0.2797739585562746,0.6164059083997737
19,volkswagen 1131 deluxe sedan,26.0,4,97.0,46,1835,20.5,70,Europe,-0.4393039778502753,0.6449458953214426
20,peugeot 504,25.0,4,110.0,87,2672,17.5,70,Europe,-0.21904576357776334,0.5872484963949369
21,audi 100 ls,24.0,4,107.0,90,2430,14.5,70,Europe,-0.20579537712462356,0.6049569695820685
22,saab 99e,25.0,4,104.0,95,2375,17.5,70,Europe,-0.2442478614752085,0.6032862347944172
23,bmw 2002,26.0,4,121.0,113,2234,12.5,70,Europe,-0.1663872155115039,0.5971758745162924
24,amc gremlin,21.0,6,199.0,90,2648,15.0,70,US,0.17292776197108894,0.4665685981173933
25,ford f250,10.0,8,360.0,215,4615,14.0,70,US,1.1361550105099327,0.19449257291756517
26,chevy c20,10.0,8,307.0,200,4376,15.0,70,US,1.010383706995249,0.23407016798326968
27,dodge d200,11.0,8,318.0,210,4382,13.5,70,US,1.048428331134887,0.2235767799085227
28,hi 1200d,9.0,8,304.0,193,4732,18.5,70,US,1.0074584693292294,0.22012301679674048
29,datsun pl510,27.0,4,97.0,88,2130,14.5,71,Japan,-0.30347208109948887,0.5390297764928625
30,chevrolet vega 2300,28.0,4,140.0,90,2264,15.5,71,US,-0.2528765555941803,0.5091685266444348
31,toyota corona,25.0,4,113.0,95,2228,14.0,71,Japan,-0.23919024188691987,0.5313400781313076
32,amc gremlin,19.0,6,232.0,100,2634,13.0,71,US,0.24134122332584745,0.37987491626734965
33,plymouth satellite custom,16.0,6,225.0,105,3439,15.5,71,US,0.3319236863877099,0.3469746785609959
34,chevrolet chevelle malibu,17.0,6,250.0,100,3329,15.5,71,US,0.33154345340300023,0.340345280189313
35,ford torino 500,19.0,6,250.0,88,3302,15.5,71,US,0.28967960564992346,0.33902483950063034
36,amc matador,18.0,6,232.0,100,3288,15.5,71,US,0.2973748741319048,0.3471694659371632
37,chevrolet impala,14.0,8,350.0,165,4209,12.0,71,US,0.9504332939299092,0.14598703313638056
38,pontiac catalina brougham,14.0,8,400.0,175,4464,11.5,71,US,1.060416700655821,0.10810529025666217
39,ford galaxie 500,14.0,8,351.0,153,4154,13.5,71,US,0.9089312951968544,0.1513486116651886
